Latin abbreviation,English abbreviation,Latin name,English name,Notes
Manc,Mancuniensis,University of Manchester,,
–,Manc Met,,Manchester Metropolitan University,
–,Middx,,University of Middlesex,
–,Newc or Ncle,,Newcastle University,Both also used by the University of Newcastle .
–,North Lond,,University of North London,
–,N'ton,,University of Northampton,
–,N'ria,,University of Northumbria,
–,Nott,,University of Nottingham,
–,Nott Trent,,Nottingham Trent University,
–,Open http://www.open.ac.uk/courses/contentlibrary/qualifications/undergraduate/stagebasedprospectus/r25/reg-sbr25.aspx,,The Open University,
Oxon,Oxf,Oxoniensis,University of Oxford,
–,Oxf Brookes,,Oxford Brookes University,
–,Plym,,University of Plymouth,
–,Port,,University of Portsmouth,
–,Qu Marg or QMU,,Queen Margaret University,
–,QMUL,,"Queen Mary, University of London","For pre-2013 award, use University of London 's post nominal abbreviation. From 2013, transition period applies. For medical degrees, Lond is still used."
–,R'dg or Rdg,,University of Reading,
–,Robt Gor,,Robert Gordon University,
–,Roeh,,University of Roehampton,
–,RAM,,Royal Academy of Music,
–,RCA,,Royal College of Art,
–,RCM,,Royal College of Music,
–,RHUL,,"Royal Holloway, University of London",
–,RVM,,Royal Veterinary College,
St And,Sancti Andreae,University of St Andrews,,
–,Salf,,Salford University,
–,SOAS,,School of Oriental and African Studies,
–,Sheff,,University of Sheffield,
–,Sheff Hallam,,Sheffield Hallam University,
Soton,S'ton,Sotoniensis,University of Southampton,
–,S'ton Sol,,Solent University,
–,Staffs,,University of Staffordshire,
–,Stir,,University of Stirling,
–,Strath,,University of Strathclyde,
–,Sund,,University of Sunderland,
–,Sur,,University of Surrey,
–,Sus,,University of Sussex,
–,Tees,,Teesside University,
–,Thames &nbsp; V,,Thames Valley University,Now the University of West London
–,UCL,,University College London,"For pre-2005 awarded degrees, use University of London 's post nominal abbreviation. Note further that from 2005, a transition period applies. For medical degrees, Lond is also used."
–,Wales,Cambrensis,University of Wales,Camb for Cambrensis would risk confusion with Cambridge. The Oxford Calendar style guide gives 'Wales' as the abbreviation for Wales.
–,Warw,,University of Warwick,
–,West Eng or UWE,,University of the West of England,
–,West Sco,,University of the West of Scotland,
–,Westmin,,University of Westminster,
Winton,Winc,,University of Winchester,
–,Wolv,,University of Wolverhampton,
–,Worc,,University of Worcester,
Ebor,– (York),Eboracensis,University of York,York (not actually an abbreviation) is also used by York University (Canada)
